State,Crop,Season,Sowing_Month,Harvest_Month,Growth_Stage,Soil_Type,Water_Requirement,Fertilizer_Used,Pesticide_Used,Organic_Practice,Major_Disease
Karnataka,Rice,Kharif,June,November,Fruiting,Black cotton soil in deltaic regions,Alternate wetting and drying to save 25-30% water,DAP 18-46-0 100kg/ha as basal,Carbofuran 3G granules for gall midge control,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Brown spot causing yield reduction
Nagaland,Rice,Rabi,October,March,Sowing,Red laterite soil with adequate irrigation,Flooded fields during growing season with 5-10cm standing water,DAP 18-46-0 100kg/ha as basal,Carbofuran 3G granules for gall midge control,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Blast disease affecting leaves and panicles
Arunachal Pradesh,Wheat,Zaid,February,June,Fruiting,Sandy loam with good organic content,Moderate requirement 45-65cm through season,DAP 120kg/ha at sowing time,Chlorpyrifos 20EC 2ml/L for aphid control,Neem-based pesticides for pest management,Yellow rust in cool humid weather
Odisha,Vegetables,Kharif,July,September,Fruiting,Alluvial soil rich in organic matter,Moderate frequent irrigation,Compost and FYM 20 tons/ha,Neem oil for aphids,Crop rotation,Leaf curl
Maharashtra,Sugarcane,Rabi,October,March,Germination,Alluvial soil of river valleys,Frequent irrigation every 7-10 days in summer,High nitrogen requirement Urea 300kg/ha split,Imidacloprid 17.8SL for aphids and whitefly,Compost 25 tons/ha for soil enrichment,Rust fungal disease on leaves
Mizoram,Ginger,Rabi,October,March,Flowering,Laterite soil,High moisture but well drained,FYM 25 tons/ha,Neem-based pesticides,Trichoderma treatment,Soft rot
Nagaland,Vegetables,Rabi,October,February,Fruiting,Alluvial soil rich in organic matter,Drip irrigation preferred,NPK 100:60:60 kg/ha,Spinosad for caterpillars,Vermicompost,Damping off
Karnataka,Arecanut,Kharif,June,September,Germination,Laterite soil,High moisture requirement,NPK 100:40:140 g/palm/year,Chlorpyrifos for spindle bug,Mulching,Bud rot
Himachal Pradesh,Maize,Zaid,March,June,Sowing,Well-drained loamy soil pH 5.5-7.5,4-5 irrigations through growing season,NPK 20-20-0 at planting,Chlorantraniliprole 18.5SC for fall armyworm,FYM 8-10 tons/ha pre-sowing,Stalk rot weakening stems
Odisha,Jute,Rabi,October,February,Flowering,Loamy soil with good drainage,Moist soil during growth,DAP 100kg/ha,Neem-based sprays,Green manuring,Stem rot
Jharkhand,Maize,Zaid,March,June,Vegetative,Black soil with proper drainage facilities,Critical at tasseling and silking stages,Zinc sulphate 25kg/ha in deficient soils,Chlorantraniliprole 18.5SC for fall armyworm,Neem cake 200kg/ha soil application,Downy mildew systemic infection
Haryana,Rice,Zaid,March,May,Flowering,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),Urea 46% N 120kg/ha in split doses,Imidacloprid 17.8SL systemic insecticide,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Blast disease affecting leaves and panicles
Kerala,Coconut,Zaid,February,June,Maturity,Alluvial soil near coast,High requirement 130-200cm,Micronutrients B and Mg,Chlorpyrifos for rhinoceros beetle,Green manuring with legumes,Root wilt disease
Madhya Pradesh,Wheat,Kharif,July,October,Flowering,Sandy loam with good organic content,Sprinkler irrigation for water efficiency,DAP 120kg/ha at sowing time,Propiconazole 25EC for rust diseases,Crop rotation with legumes for nitrogen,Karnal bunt quarantine disease
Arunachal Pradesh,Millet,Kharif,July,October,Germination,Red soil,Rainfed,Urea 40kg/ha,Neem oil,Traditional farming,Blast
Karnataka,Ragi,Kharif,June,September,Fruiting,Loamy soil,Low water requirement,Urea 40kg/ha,Neem oil,Traditional crop management,Blast disease
Meghalaya,Rice,Kharif,June,November,Maturity,Alluvial soil rich in organic matter,Flooded fields during growing season with 5-10cm standing water,NPK 20-20-0 complex mixture,Carbofuran 3G granules for gall midge control,Green manuring with Dhaincha or Sesbania for nitrogen,Bacterial leaf blight in warm weather
Gujarat,Wheat,Kharif,July,October,Maturity,Clay loam in irrigated areas,Moderate requirement 45-65cm through season,NPK 12-32-16 complete mixture,Quinalphos 25EC for termite prevention,Neem-based pesticides for pest management,Root rot in waterlogged conditions
Meghalaya,Orange,Kharif,June,September,Fruiting,Well-drained loam,Moderate irrigation,NPK 70:35:70 g/tree,Imidacloprid for citrus psylla,Pruning and mulching,Gummosis
Goa,Coconut,Rabi,November,March,Vegetative,Coastal sandy loam ideal,High requirement 130-200cm,NPK 500:320:120 g/palm/year,Imidacloprid for mite control,Vermicompost 10kg/palm,Bud rot fungal disease
Meghalaya,Rice,Zaid,February,May,Fruiting,Black cotton soil in deltaic regions,High water requirement 150-200cm annually,Urea 46% N 120kg/ha in split doses,Carbofuran 3G granules for gall midge control,Neem cake 200kg/ha as soil amendment,False smut during flowering stage
Arunachal Pradesh,Maize,Kharif,July,October,Fruiting,Black soil with proper drainage facilities,Moderate requirement 50-75cm,Urea 250kg/ha split application,Chlorantraniliprole 18.5SC for fall armyworm,Vermicompost 3-4 tons/ha,Turcicum leaf blight Northern blight
Assam,Rice,Kharif,June,November,Vegetative,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),Zinc sulphate 25kg/ha in deficient soils,Cartap hydrochloride 50SP for BPH and WBPH,Vermicompost 5 tons/ha for soil health,False smut during flowering stage
Maharashtra,Soybean,Kharif,June,November,Fruiting,Red and yellow soil suitable,Rainfed in most areas of India,Sulphur 20-30kg/ha important,Chlorpyrifos 20EC broad spectrum,Neem cake application 500kg/ha,Frog eye leaf spot Cercospora
Arunachal Pradesh,Millet,Zaid,March,May,Vegetative,Sandy loam,Low rainfall crop,DAP 60kg/ha,Neem oil,Traditional farming,Downy mildew
Gujarat,Groundnut,Zaid,March,June,Sowing,Sandy loam ideal for pod development,4-5 irrigations in season,Potash 50kg/ha in deficient soils,Thiamethoxam 25WG systemic,FYM 5-7 tons/ha before sowing,Rosette disease aphid transmitted
Madhya Pradesh,Gram,Kharif,June,November,Vegetative,Well-drained loamy soil,One irrigation at flowering,DAP 100kg/ha,Quinalphos for pod borer,FYM 5 tons/ha,Ascochyta blight
Tamil Nadu,Sugarcane,Zaid,March,June,Vegetative,Red loam with irrigation facilities,Frequent irrigation every 7-10 days in summer,DAP/SSP 200kg/ha phosphorus,Chlorpyrifos 20EC for termite and root borer,Green manuring with leguminous crops,Red rot most destructive disease
Madhya Pradesh,Soybean,Zaid,February,May,Germination,Alluvial soil with good drainage,Critical at flowering and pod filling,Potash 40kg/ha for seed quality,Chlorpyrifos 20EC broad spectrum,Trichoderma for disease management,Charcoal rot Macrophomina at maturity
Rajasthan,Barley,Rabi,October,February,Sowing,Alluvial soil,Low to moderate,Urea 60kg/ha,Propiconazole for leaf rust,Compost,Stripe rust
Andhra Pradesh,Sugarcane,Zaid,February,June,Vegetative,Deep rich loamy soil 1-1.5m depth,Critical at tillering and grand growth phase,Potash 120kg/ha important for sugar content,Monocrotophos 36SL for top borer,Trash mulching conserves moisture,Grassy shoot disease phytoplasma
Punjab,Wheat,Rabi,October,February,Germination,Clay loam in irrigated areas,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",DAP 120kg/ha at sowing time,Propiconazole 25EC for rust diseases,Azotobacter biofertilizer for N fixation,Karnal bunt quarantine disease
Haryana,Cotton,Zaid,February,June,Sowing,Deep sandy loam well-drained,Moderate requirement 70-90cm per season,Urea in 3-4 split doses total 150kg/ha,Acetamiprid 20SP for whitefly and jassids,Intercropping with pulses or marigold,Grey mildew in humid conditions
Karnataka,Rice,Zaid,February,June,Fruiting,Alluvial soil rich in organic matter,Flooded fields during growing season with 5-10cm standing water,DAP 18-46-0 100kg/ha as basal,Carbofuran 3G granules for gall midge control,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Sheath blight in humid conditions
Odisha,Pulses,Zaid,March,June,Fruiting,Sandy loam with moderate fertility,1-2 protective irrigations,Rhizobium inoculation for nitrogen,Chlorpyrifos 20EC for various pests,Crop rotation improves soil nitrogen,Yellow mosaic virus whitefly transmitted
Haryana,Bajra,Rabi,October,February,Fruiting,Sandy soil,Rainfed crop,Urea 60kg/ha,Neem oil for aphids,Green manuring,Downy mildew
Manipur,Rice,Zaid,March,June,Maturity,Red laterite soil with adequate irrigation,High water requirement 150-200cm annually,Urea 46% N 120kg/ha in split doses,Imidacloprid 17.8SL systemic insecticide,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Tungro virus spread by leafhoppers
Tripura,Rubber,Zaid,February,June,Maturity,Well-drained loam,High rainfall 200-300cm,NPK 12-12-12,Copper fungicides,Mulching,Abnormal leaf fall
Maharashtra,Cotton,Kharif,June,September,Sowing,Black cotton soil (Regur) ideal for cotton,10-12 irrigations in non-rainy season,Single Super Phosphate 375kg/ha for root growth,Acetamiprid 20SP for whitefly and jassids,Neem oil 3% spray for sucking pests,Cotton leaf curl virus CLCuV
Nagaland,Pulses,Zaid,February,May,Maturity,Red and black soils suitable,Critical at flowering and pod formation,Rhizobium inoculation for nitrogen,Imidacloprid 17.8SL for sucking pests,Neem-based pesticides safe,Wilt Fusarium various species
Goa,Coconut,Rabi,October,February,Sowing,Laterite soil with manuring,Irrigation every 7-10 days in dry season,Organic manure 25kg/palm,Neem oil for black headed caterpillar,Vermicompost 10kg/palm,Root wilt disease
Haryana,Mustard,Zaid,February,June,Vegetative,Alluvial soil of plains,"2-3 critical irrigations pre-flowering, flowering, siliqua",Boron 1kg/ha micronutrient deficiency common,Chlorpyrifos 20EC for sawfly,Crop rotation with cereals,Alternaria blight most destructive
Andhra Pradesh,Rice,Kharif,July,October,Germination,Black cotton soil in deltaic regions,Drip irrigation in System of Rice Intensification (SRI),Zinc sulphate 25kg/ha in deficient soils,Chlorpyrifos 20EC for stem borer and leaf folder,Neem cake 200kg/ha as soil amendment,Bacterial leaf blight in warm weather
Maharashtra,Cotton,Rabi,October,February,Flowering,Deep sandy loam well-drained,Critical at flowering and boll formation stages,Single Super Phosphate 375kg/ha for root growth,Emamectin benzoate 5SG for bollworm complex,Bt cotton varieties for bollworm resistance,Root rot in heavy soils
Jharkhand,Pulses,Zaid,March,June,Vegetative,Well-drained loam pH 6-7.5,Low to moderate 35-50cm,Potash 40kg/ha in deficient soils,Quinalphos 25EC for pod borer complex,PSB culture for phosphorus,Yellow mosaic virus whitefly transmitted
Uttarakhand,Potato,Rabi,November,February,Vegetative,Sandy loam well-drained friable,Light frequent irrigation 8-10 times,High potash NPK 120:60:120 kg/ha,Mancozeb 75WP for late blight prevention,Neem cake 500kg/ha at planting,Late blight Phytophthora infestans devastating
Gujarat,Wheat,Kharif,July,September,Flowering,Sandy loam with good organic content,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",DAP 120kg/ha at sowing time,Mancozeb 75WP broad spectrum fungicide,FYM 8-10 tons/ha incorporated before sowing,Yellow rust in cool humid weather
Telangana,Rice,Kharif,June,September,Flowering,Black cotton soil in deltaic regions,High water requirement 150-200cm annually,DAP 18-46-0 100kg/ha as basal,Chlorpyrifos 20EC for stem borer and leaf folder,Green manuring with Dhaincha or Sesbania for nitrogen,Blast disease affecting leaves and panicles
Kerala,Tea,Zaid,February,June,Fruiting,Acidic loam soil pH 4.5-5.5,High rainfall 200-300cm,NPK 20-10-10,Copper fungicides,Mulching with pruned leaves,Blister blight
West Bengal,Vegetables,Zaid,March,May,Germination,Well-drained loamy soil,Drip irrigation preferred,Compost and FYM 20 tons/ha,Neem oil for aphids,Crop rotation,Powdery mildew
Chhattisgarh,Pulses,Rabi,November,February,Sowing,Clay loam in irrigated areas,Drought tolerant crops,Phosphorus important DAP 100kg/ha,Dimethoate 30EC systemic,PSB culture for phosphorus,Powdery mildew white coating
Bihar,Vegetables,Kharif,July,November,Flowering,Well-drained loamy soil,Drip irrigation preferred,Compost and FYM 20 tons/ha,Spinosad for caterpillars,Vermicompost,Damping off
Karnataka,Sugarcane,Kharif,July,September,Germination,Deep rich loamy soil 1-1.5m depth,Drip or furrow irrigation methods,DAP/SSP 200kg/ha phosphorus,Carbofuran 3G systemic insecticide,Green manuring with leguminous crops,Rust fungal disease on leaves
Kerala,Coffee,Zaid,February,June,Germination,Forest loam,Moderate rainfall 150-200cm,Organic manure,Chlorpyrifos for white stem borer,Shade management,Coffee rust
Arunachal Pradesh,Millet,Kharif,June,September,Maturity,Red soil,Rainfed,Urea 40kg/ha,Neem oil,Traditional farming,Downy mildew
Meghalaya,Maize,Zaid,February,June,Fruiting,Black soil with proper drainage facilities,4-5 irrigations through growing season,Zinc sulphate 25kg/ha in deficient soils,Chlorantraniliprole 18.5SC for fall armyworm,Neem cake 200kg/ha soil application,Charcoal rot at maturity
Jammu and Kashmir,Apple,Kharif,June,November,Germination,Sandy loam,Snow-fed moisture,NPK 70:35:70 g/tree,Chlorpyrifos for codling moth,Pruning and mulching,Powdery mildew
Haryana,Wheat,Kharif,June,October,Fruiting,Clay loam in irrigated areas,Avoid water logging which causes root damage,NPK 12-32-16 complete mixture,Tebuconazole 2DS for Karnal bunt,FYM 8-10 tons/ha incorporated before sowing,Black rust in warmer conditions
Arunachal Pradesh,Millet,Kharif,July,September,Vegetative,Red soil,Rainfed,DAP 60kg/ha,Neem oil,Traditional farming,Downy mildew
Kerala,Coconut,Zaid,February,May,Flowering,Laterite soil with manuring,Drip irrigation efficient,NPK 500:320:120 g/palm/year,Chlorpyrifos for rhinoceros beetle,Green manuring with legumes,Root wilt disease
Odisha,Rice,Zaid,March,May,Sowing,Red laterite soil with adequate irrigation,Flooded fields during growing season with 5-10cm standing water,Urea 46% N 120kg/ha in split doses,Imidacloprid 17.8SL systemic insecticide,Green manuring with Dhaincha or Sesbania for nitrogen,Tungro virus spread by leafhoppers
Chhattisgarh,Rice,Zaid,March,June,Sowing,Clayey loam soil with good water retention,Alternate wetting and drying to save 25-30% water,Zinc sulphate 25kg/ha in deficient soils,Tricyclazole 75WP for blast disease,Neem cake 200kg/ha as soil amendment,Sheath blight in humid conditions
Jharkhand,Rice,Rabi,November,March,Vegetative,Black cotton soil in deltaic regions,Drip irrigation in System of Rice Intensification (SRI),Urea 46% N 120kg/ha in split doses,Imidacloprid 17.8SL systemic insecticide,Crop rotation with pulses to fix nitrogen,Blast disease affecting leaves and panicles
Nagaland,Pulses,Rabi,October,March,Vegetative,Well-drained loam pH 6-7.5,Critical at flowering and pod formation,Phosphorus important DAP 100kg/ha,Quinalphos 25EC for pod borer complex,PSB culture for phosphorus,Root rot in heavy soils
Himachal Pradesh,Barley,Kharif,July,October,Maturity,Alluvial soil,Low to moderate,Urea 60kg/ha,Propiconazole for leaf rust,Compost,Powdery mildew
Assam,Tea,Zaid,March,May,Germination,Well-drained hill soil,Frequent light irrigation,High nitrogen requirement,Copper fungicides,Mulching with pruned leaves,Die back
Odisha,Cotton,Rabi,October,March,Vegetative,Red soil with organic amendments,Moderate requirement 70-90cm per season,Single Super Phosphate 375kg/ha for root growth,Chlorpyrifos 20EC broad spectrum,Pheromone traps for bollworm monitoring,Bacterial blight angular leaf spots
West Bengal,Rice,Rabi,November,February,Maturity,Clayey loam soil with good water retention,Alternate wetting and drying to save 25-30% water,Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 17.8SL systemic insecticide,Neem cake 200kg/ha as soil amendment,Blast disease affecting leaves and panicles
Puducherry,Rice,Zaid,March,June,Fruiting,Red laterite soil with adequate irrigation,Flooded fields during growing season with 5-10cm standing water,NPK 20-20-0 complex mixture,Carbofuran 3G granules for gall midge control,Crop rotation with pulses to fix nitrogen,Sheath blight in humid conditions
Telangana,Cotton,Zaid,February,May,Sowing,Clay loam pH 6-8,10-12 irrigations in non-rainy season,Single Super Phosphate 375kg/ha for root growth,Acetamiprid 20SP for whitefly and jassids,Bt cotton varieties for bollworm resistance,Cotton leaf curl virus CLCuV
